id,biz_name,biz_info,cat_primary,cat_sub,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,biz_phone_ext,biz_fax,biz_email,web_url,web_meta_title,web_meta_desc,web_meta_keys
1,"107 Feed Store Hardware",,Beer,"Beer & Ale Retail","7mile Lane Bet.benton Palm Dr. &amp; Minessota Rd.",Mission,TX,78572,,USA,Hidalgo,956,48215,4880,,CST,Y,26.2167,26.215335,-98.3250,-98.325794,"(956) 424-9892",,,amancio@southtx.quik.com,,,,
2,"115 Beer Distributors Inc",,Beer,"Beer & Ale Retail","77 E 115th St","New York",NY,10029,10029-1101,USA,"New York",212,36061,,5600,EST,Y,40.7917,40.798972,-73.9439,-73.944576,"(212) 828-5511",,,,http://www.115randp.com,"115randp.com: The Leading R and P Site on the Net",,
3,"177 Liquors",,Beer,"Beer & Ale Retail","2903 Mountain Rd",Pasadena,MD,21122,21122-2013,USA,"Anne Arundel",410,24003,,0720,EST,Y,39.1222,39.127168,-76.5054,-76.539179,"(410) 255-1777",,,,,,,
4,"31 W Market",,Beer,"Beer & Ale Retail","1490 Louisville Hwy",Goodlettsville,TN,37072,37072-4508,USA,Davidson,615,47037,5360,,CST,Y,36.3549,36.407009,-86.7496,-86.687469,"(615) 672-0627",,,,,,,
5,"315 Stop & Go",,Beer,"Beer & Ale Retail","32 Forrest Dr S",Sardis,MS,38666,38666-3233,USA,Panola,662,28107,,,CST,Y,34.4208,34.425152,-89.9212,-89.835530,"(662) 487-3408",,,,,,,
6,"319 Jett Pep",,Beer,"Beer & Ale Retail","582 W Grand Ave","Rainbow City",AL,35906,35906-6004,USA,Etowah,256,01055,2880,,CST,Y,33.9427,33.969064,-86.0638,-86.049145,"(256) 442-7188",,,,,,,
7,"411 Package Store",,Beer,"Beer & Ale Retail","3304 Highway 411 N",Englewood,TN,37329,37329-5276,USA,McMinn,423,47107,,,EST,Y,35.4328,35.435051,-84.4759,-84.470316,"(423) 887-7646",,,,,,,
8,"422 Plaza & Drive Thru",,Beer,"Beer & Ale Retail","196 McCartney Rd",Campbell,OH,44405,,USA,Mahoning,330,39099,9320,,EST,Y,41.0782,41.090275,-80.5892,-80.606730,"(330) 747-1211",,,,,,,
9,"7 Eleven",,Beer,"Beer & Ale Retail","1400 E Prater Way",Sparks,NV,89434,89434-8961,USA,Washoe,775,32031,6720,,PST,Y,39.5403,39.542019,-119.6729,-119.718110,"(775) 359-4111",,,,http://www.7-eleven.com,"Fast, convenient. 7-Eleven. Oh thank Heaven.","Visit 7-Eleven, home of Big Gulp fountain soft drinks, Big Bite hot dogs, Slurpee drinks, and other convenient, healthy and fast food items. Satisfy your snack attack or get a meal to go at a 7-Eleven near you.","Convenient food, healthy food, fast food, 7-eleven food, 7 eleven, seven eleven, 7 11, 7-eleven, 7-11 locator, 7eleven, 7-11 stores, seven eleven locations, 711 locations, 7-eleven store locator, 7-11.com, 7eleven.com, 7 11 stores, seven 11, www.7eleven.c"
10,"7 Eleven",,Beer,"Beer & Ale Retail","1991 Natividad Rd",Salinas,CA,93906,93906-3132,USA,Monterey,831,06053,7120,,PST,Y,36.7253,36.714685,-121.6333,-121.623940,"(831) 444-6358",,,,http://www.7-eleven.com,"Fast, convenient. 7-Eleven. Oh thank Heaven.","Visit 7-Eleven, home of Big Gulp fountain soft drinks, Big Bite hot dogs, Slurpee drinks, and other convenient, healthy and fast food items. Satisfy your snack attack or get a meal to go at a 7-Eleven near you.","Convenient food, healthy food, fast food, 7-eleven food, 7 eleven, seven eleven, 7 11, 7-eleven, 7-11 locator, 7eleven, 7-11 stores, seven eleven locations, 711 locations, 7-eleven store locator, 7-11.com, 7eleven.com, 7 11 stores, seven 11, www.7eleven.c"
